STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AL,Albania,2018,,6.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2006,,25.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2007,,25.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2008,,25.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2009,,24.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2010,,24.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2011,,23.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2012,,22.9,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2013,,22.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2014,,22.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2015,,21.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2016,,20.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2017,,20.7,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2018,,20.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2019,,20.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2020,,19.2,,,,,
