,public_spending_2019
Luxembourg,71208
Estonia,44152
Norway,40599
Sweden,32332
Finland,30879
Lithuania,26938
Denmark,26747
Slovenia,25859
Hungary,24863
Czechia,24718
Latvia,24197
Iceland,22290
Slovak Republic,21842
Poland,17431
OECD average ,17248
Germany,14593
Portugal,14582
Italy,14567
Canada,12305
Belgium,12168
Spain,12134
Switzerland,11558
Japan,9270
France,8871
Greece,8769
Austria,8250
Israel,6540
Chile,6123
United Kingdom,5991
Ireland,5735
Australia,5295
Korea,5101
New Zealand,4960
Netherlands,1306
Colombia,909
Türkiye,611
